Game,Platform,Score,Genre
Wolfenstein: The New Order,Xbox One,7.8,Shooter
Mario Kart 8,Wii U,9,"Racing, Action"
Sportsfriends,PlayStation 3,8.7,"Action, Compilation"
Sportsfriends,PlayStation 4,8.7,"Action, Compilation"
Sportsfriends,PC,8.7,"Action, Compilation"
Super TIME Force,Xbox One,7.5,Shooter
Super TIME Force,Xbox 360,7.5,Shooter
The Walking Dead: Season Two -- Episode 3: In Harm's Way,PC,9,Adventure
Borderlands 2,PlayStation Vita,5.4,"Shooter, RPG"
Bound by Flame,PC,7,"Action, RPG"
Bound by Flame,PlayStation 4,7,"Action, RPG"
God of War Collection,PlayStation Vita,6.3,Compilation
Outlast: Whistleblower,PC,6.4,"Action, Adventure"
Outlast: Whistleblower,PlayStation 4,6.4,"Action, Adventure"
Tesla Effect: A Tex Murphy Adventure,PC,6.8,Adventure
JoJo's Bizarre Adventure: All Star Battle,PlayStation 3,7.4,Fighting
The Amazing Spider-Man 2,iPhone,4.5,Action
"Sir, You are Being Hunted",PC,7.7,Shooter
Republique -- Episode 2: Metamorphosis,iPhone,7.5,Adventure
The Amazing Spider-Man 2,PlayStation 4,5.4,Action
The Amazing Spider-Man 2,Wii U,5.4,Action
The Amazing Spider-Man 2,Xbox One,5.4,Action
The Amazing Spider-Man 2,PC,5.4,Action
The Amazing Spider-Man 2,PlayStation 3,5.4,Action
The Amazing Spider-Man 2,Xbox 360,5.4,Action
Starlight Inception,PlayStation Vita,3.8,Action
Wargame: Red Dragon,PC,7.6,Strategy
Daylight,PC,5.8,Adventure
Daylight,PlayStation 4,5.8,Adventure
Child of Light,PlayStation 3,9.3,RPG
Child of Light,PlayStation 4,9.3,RPG
Child of Light,Wii U,9.3,RPG
Child of Light,Xbox One,9.3,RPG
Child of Light,PC,9.3,RPG
Child of Light,Xbox 360,9.3,RPG
The Last Federation,PC,6.9,Strategy
Kirby: Triple Deluxe,Nintendo 3DS,6,Platformer
"Batman: Arkham Origins -- Cold, Cold Heart",PC,7,Action
FTL: Faster Than Light,iPad,9.6,Simulation
FTL: Faster Than Light,PC,9.6,Simulation
Mercenary Kings,PlayStation 4,8,Action
Mercenary Kings,PC,8,Action
Mario Golf World Tour,Nintendo 3DS,8.6,"Sports, Action"
NES Remix 2,Wii U,7.7,Party
War of the Vikings,PC,3.5,None
LEGO: The Hobbit,Nintendo 3DS,7,Adventure
2014 FIFA World Cup Brazil,PlayStation 3,7.5,Sports
2014 FIFA World Cup Brazil,Xbox 360,7.5,Sports
Trials Fusion,PC,8.2,"Racing, Action"
Trials Fusion ,Xbox 360,8.2,"Racing, Action"
Trials Fusion,Xbox One,8.2,"Racing, Action"
Trials Fusion,PlayStation 4,8.2,"Racing, Action"
Boom Beach,iPhone,7,None
RBI Baseball 14,PlayStation 3,4.5,Baseball
Pure Chess,PlayStation Vita,6,Board
Pure Chess,PlayStation 3,6,Board
Pure Chess,Wii U,6,Board
Pure Chess,PlayStation 4,6,Board
Football Manager Classic 2014,PlayStation Vita,7.5,"Sports, Simulation"
MLB 14: The Show,PlayStation Vita,7.1,"Sports, Baseball"
LEGO: The Hobbit,PlayStation 4,7.4,Adventure
LEGO: The Hobbit,Xbox One,7.4,Adventure
The Wolf Among Us: Episode 3 -- A Crooked Mile,PlayStation 3,9.2,Adventure
The Wolf Among Us: Episode 3 -- A Crooked Mile,PC,9.2,Adventure
The Wolf Among Us: Episode 3 -- A Crooked Mile,Xbox 360,9.2,Adventure
Kinect Sports Rivals,Xbox One,7.3,"Sports, Party"
Don Bradman Cricket 14,PlayStation 3,6.8,"Sports, Simulation"
Don Bradman Cricket 14,Xbox 360,6.8,"Sports, Simulation"
MLB 14: The Show,PlayStation 3,8.1,"Sports, Baseball"
MLB 14: The Show,PlayStation 4,8.1,"Sports, Baseball"
Dead Nation: Apocalypse Edition,PlayStation 4,8,Shooter
Betrayer,PC,5,"Action, Adventure"
Age of Wonders III,PC,7.1,Strategy
Goat Simulator,PC,8,Action
Smite ,PC,8.5,Strategy
Hearthstone: Heroes of WarCraft,PC,9,"Card, Battle"
Hearthstone: Heroes of WarCraft,iPhone,9,"Card, Battle"
Steel Diver: Sub Wars,Nintendo 3DS,7.8,Shooter
Yoshi's New Island,Nintendo 3DS,7.9,Platformer
Dark Souls II,PlayStation 3,9,"Action, RPG"
Dark Souls II,Xbox 360,9,"Action, RPG"
Dark Souls II,PC,9,"Action, RPG"
Titanfall,Xbox One,8.9,"Shooter, First-Person"
